Grapheme	IPA
bauþs	b ɔ θ s
bawiþa	b a w ɪ θ a
bazj	b a z j
bēga	b e ɣ a
beid	b i ð
beist	b i s t
beistei	b i s t i
beistj	b i s t j
beistjōþs	b i s t j o θ s
beit	b i t
bel	b e l
belagines	b e l a ɣ ɪ n e s
bercna	b e r c n a
bērs	b e r s
bērusi	b e r u s ɪ
bērusjōs	b e r u s j o s
bi	b ɪ
biabrj	b ɪ a β r j
biarbaidj	b ɪ a r b ɛ ð j
biauk	b ɪ ɔ k
biaukn	b ɪ ɔ k n̥
bibaúrgeins	b ɪ β ɔ r ɡ i n s
bibaúrgj	b ɪ β ɔ r ɡ j
bibind	b ɪ β ɪ n d
bida	b ɪ ð a
bidagwa	b ɪ ð a ɣ w a
bid	b ɪ ð
bidj	b ɪ ð j
bidōmj	b ɪ ð o m j
bifaih	b ɪ ɸ ɛ h
bifaihōn	b ɪ ɸ ɛ h o n
bifaihōns	b ɪ ɸ ɛ h o n s
bigaírd	b ɪ ɣ ɛ r d
bigardio	b ɪ ɣ a r d ɪ o
bigit	b ɪ ɣ ɪ t
bigrab	b ɪ ɣ r a β
bihait	b ɪ h ɛ t
bihaitja	b ɪ h ɛ t j a
bihlahj	b ɪ h l a h j
biƕaírb	b ɪ ʍ ɛ r b
biƕē	b ɪ ʍ e
bijandzuþþ	b ɪ j a n d z u θː
bikukj	b ɪ k u k j
bilageins	b ɪ l a ɣ i n s
bilagj	b ɪ l a ɣ j
bilaibj	b ɪ l ɛ β j
bilaif	b ɪ l ɛ ɸ
bilaigōn	b ɪ l ɛ ɣ o n
bilaik	b ɪ l ɛ k
bilaistiþs	b ɪ l ɛ s t ɪ θ s
bileib	b ɪ l i β
bileiþ	b ɪ l i θ
bilg	b ɪ l ɡ
bilisa	b ɪ l ɪ s a
bimait	b ɪ m ɛ t
bimampj	b ɪ m a m p j
binaúh	b ɪ n ɔ h
binda	b ɪ n d a
bind	b ɪ n d
binim	b ɪ n ɪ m
biniuhsj	b ɪ n ɪ u h s j
biqim	b ɪ kʷ ɪ m
biraubōn	b ɪ r ɔ β o n
bireikei	b ɪ r i k i
bireikeis	b ɪ r i k i s
birinn	b ɪ r ɪ nː
birōdeins	b ɪ r o ð i n s
birōdj	b ɪ r o ð j
birūnains	b ɪ r u n ɛ n s
birūn	b ɪ r u n
bisaíƕ	b ɪ s ɛ ʍ
bisatj	b ɪ s a t j
bisauleins	b ɪ s ɔ l i n s
bisaulj	b ɪ s ɔ l j
bisauln	b ɪ s ɔ l n̥
bisit	b ɪ s ɪ t
biskab	b ɪ s k a β
biskein	b ɪ s k i n
bismeit	b ɪ s m i t
bisniw	b ɪ s n ɪ w
bispeiw	b ɪ s p i w
bistand	b ɪ s t a n d
bistigq	b ɪ s t ɪ ŋ kʷ
bistugq	b ɪ s t u ŋ kʷ
bisunjanē	b ɪ s u n j a n e
bisuus	b ɪ s u u s
biswaírb	b ɪ s w ɛ r b
biswar	b ɪ s w a r
bitiuh	b ɪ t ɪ u h
biþagkj	b ɪ θ a ŋ k j
biþē	b ɪ θ e
biþragj	b ɪ θ r a ɣ j
biþwah	b ɪ θ w a h
biud	b ɪ u ð
biug	b ɪ u ɣ
